Serial No,Timestamp,Temperature,Humidity,latitude,longitude
1392904597,2014/02/20 19:26:37,29.4,73,13.00361,77.61818
1392904853,2014/02/20 19:30:53,30.1,61,13.00361,77.61818
1392904956,2014/02/20 19:32:36,30.4,59,13.00361,77.61818
1392905507,2014/02/20 19:41:47,30.4,49,13.00361,77.61818
1392905712,2014/02/20 19:45:12,30,57,13.00361,77.61818
1392906064,2014/02/20 19:51:04,30.8,59,13.00361,77.61818
1392906371,2014/02/20 19:56:11,30.2,48,13.00361,77.61818
1392906680,2014/02/20 20:01:20,29,50,13.00361,77.61818
1392906936,2014/02/20 20:05:36,28.3,51,13.00361,77.61818
1392907244,2014/02/20 20:10:44,27.6,52,13.00361,77.61818
1392907551,2014/02/20 20:15:51,27,53,13.00361,77.61818
1392907858,2014/02/20 20:20:58,26.6,54,13.00361,77.61818
1392908167,2014/02/20 20:26:07,26.2,55,13.00361,77.61818
1392908475,2014/02/20 20:31:15,25.9,55,13.00361,77.61818
1392908781,2014/02/20 20:36:21,25.6,56,13.00361,77.61818
1392909089,2014/02/20 20:41:29,25.4,56,13.00361,77.61818
1392909396,2014/02/20 20:46:36,25.2,57,13.00361,77.61818
1392909704,2014/02/20 20:51:44,25.1,57,13.00361,77.61818
1392910012,2014/02/20 20:56:52,24.9,57,13.00361,77.61818
1392910319,2014/02/20 21:01:59,24.8,58,13.00361,77.61818
1392910620,2014/02/20 21:07:00,24.8,58,13.00361,77.61818
1392910877,2014/02/20 21:11:17,24.6,58,13.00361,77.61818
1392911184,2014/02/20 21:16:24,24.6,58,13.00361,77.61818
1392911492,2014/02/20 21:21:32,24.5,59,13.00361,77.61818
1392911800,2014/02/20 21:26:40,24.4,59,13.00361,77.61818
1392912107,2014/02/20 21:31:47,24.3,59,13.00361,77.61818
1392912415,2014/02/20 21:36:55,24.3,60,13.00361,77.61818
1392912723,2014/02/20 21:42:03,24.2,60,13.00361,77.61818
1392913030,2014/02/20 21:47:10,24.2,61,13.00361,77.61818
1392913338,2014/02/20 21:52:18,24.1,61,13.00361,77.61818
1392913645,2014/02/20 21:57:25,24.1,61,13.00361,77.61818
1392913953,2014/02/20 22:02:33,24,62,13.00361,77.61818
1392914261,2014/02/20 22:07:41,24,62,13.00361,77.61818
1392914568,2014/02/20 22:12:48,23.9,62,13.00361,77.61818
1392914876,2014/02/20 22:17:56,23.9,63,13.00361,77.61818
1392915183,2014/02/20 22:23:03,23.8,63,13.00361,77.61818
1392915491,2014/02/20 22:28:11,23.8,63,13.00361,77.61818
1392915799,2014/02/20 22:33:19,23.7,63,13.00361,77.61818
1392916105,2014/02/20 22:38:25,23.6,64,13.00361,77.61818
1392916413,2014/02/20 22:43:33,23.6,64,13.00361,77.61818
1392916721,2014/02/20 22:48:41,23.6,64,13.00361,77.61818
1392917028,2014/02/20 22:53:48,23.5,64,13.00361,77.61818
1392917284,2014/02/20 22:58:04,23.4,65,13.00361,77.61818
1392917592,2014/02/20 23:03:12,23.4,65,13.00361,77.61818
1392917900,2014/02/20 23:08:20,23.3,65,13.00361,77.61818
1392918207,2014/02/20 23:13:27,23.3,65,13.00361,77.61818
1392918516,2014/02/20 23:18:36,23.2,66,13.00361,77.61818
1392918824,2014/02/20 23:23:44,23.2,66,13.00361,77.61818
1392919130,2014/02/20 23:28:50,23.1,67,13.00361,77.61818
1392919438,2014/02/20 23:33:58,23,67,13.00361,77.61818
1392919746,2014/02/20 23:39:06,23,68,13.00361,77.61818
1392920054,2014/02/20 23:44:14,22.9,68,13.00361,77.61818
1392920361,2014/02/20 23:49:21,22.9,68,13.00361,77.61818
1392920668,2014/02/20 23:54:28,22.8,69,13.00361,77.61818
1392920976,2014/02/20 23:59:36,22.7,69,13.00361,77.61818
1392921232,2014/02/21 00:03:52,22.7,70,13.00361,77.61818
1392921540,2014/02/21 00:09:00,22.6,70,13.00361,77.61818
1392921847,2014/02/21 00:14:07,22.6,70,13.00361,77.61818
1392922155,2014/02/21 00:19:15,22.5,70,13.00361,77.61818
1392922463,2014/02/21 00:24:23,22.5,71,13.00361,77.61818
